bin,temp,tonic,dataset
33,-0.017831534025547224,-0.0893528413708395,PhysioNet
34,-0.023298200692213843,0.11122309446249376,PhysioNet
35,-0.04200653402554701,0.11338149717082717,PhysioNet
36,-0.04729820069221373,0.10134708680624382,PhysioNet
37,-0.040108726176953186,-0.21319962020087876,PhysioNet
38,-0.0174710648148149,-0.4109273971643519,PhysioNet
39,-0.03869328703703692,-0.5372279561921297,PhysioNet
0,-0.42955297619047617,-0.5727491810119048,Stress-Predict
1,-0.3885625,-0.5665531565476191,Stress-Predict
2,-0.32817202380952376,-0.5333452133333333,Stress-Predict
3,-0.24746726190476176,-0.49857739785714283,Stress-Predict
4,-0.19879583333333323,-0.4177865321428571,Stress-Predict
5,-0.15765773809523803,-0.35118974077380954,Stress-Predict
6,-0.14471964285714292,-0.2934380294047619,Stress-Predict
7,-0.03880535714285692,-0.3234527625595238,Stress-Predict
8,0.019337500000000018,-0.37077210005952377,Stress-Predict
9,0.04980416666666675,-0.41504682107142854,Stress-Predict
10,0.05993273809523798,-0.3808917766666667,Stress-Predict
11,0.0833422619047619,-0.31291744910714286,Stress-Predict
12,0.10552797619047634,-0.2692118626190476,Stress-Predict
13,0.1182089285714287,-0.2216733206547619,Stress-Predict
14,0.11642321428571452,-0.16039056708333332,Stress-Predict
15,0.10749940476190488,-0.11651726851190476,Stress-Predict
16,0.08743750000000015,-0.07012608678571428,Stress-Predict
17,0.06825654761904787,-0.05836968773809523,Stress-Predict
18,0.10586607142857146,-0.07174078553571428,Stress-Predict
19,0.1438041666666667,-0.11552198869047618,Stress-Predict
20,0.1508708333333334,-0.1517619395833333,Stress-Predict
21,0.17563273809523802,-0.1825429563690476,Stress-Predict
22,0.17862321428571437,-0.1539706494642857,Stress-Predict
23,0.16529940476190486,-0.0046273291666666634,Stress-Predict
24,0.12534226190476186,0.08519093273809526,Stress-Predict
25,0.11319940476190496,0.19933854291666667,Stress-Predict
26,0.11256607142857132,0.4330329014285714,Stress-Predict
27,0.0807565476190476,0.6165550818452381,Stress-Predict
28,0.04524702380952389,0.7199160448809524,Stress-Predict
29,0.03157559523809516,0.7938656630357143,Stress-Predict
30,0.04611369047619063,0.7657583751785714,Stress-Predict
31,0.054147023809523784,0.7458114810119049,Stress-Predict
32,0.06400892857142841,0.6477822444642857,Stress-Predict
33,0.04553749999999991,0.5094452376190477,Stress-Predict
34,-0.012648214285714315,0.37293305452380954,Stress-Predict
35,-0.04547678571428571,0.2651204930952381,Stress-Predict
36,-0.08991488095238111,0.15075040535714287,Stress-Predict
37,-0.11792916666666664,0.09505592089285715,Stress-Predict
38,-0.11926726190476189,0.08860135226190477,Stress-Predict
39,-0.13539107142857135,0.12401687148809522,Stress-Predict
0,-0.5414554097446255,-0.7077215022473561,Campanella2024
1,-0.5728749499745106,-0.6932212362990802,Campanella2024
2,-0.6118634557216371,-0.6819701829944825,Campanella2024
3,-0.6077255246871542,-0.5991338046898849,Campanella2024
4,-0.576576099399798,-0.5348290095749423,Campanella2024
5,-0.5930818465262346,-0.5082421115145974,Campanella2024
6,-0.5721623062963497,-0.45317160461804573,Campanella2024
7,-0.5130013867561197,-0.39861182365540204,Campanella2024
8,-0.4718347200894532,-0.3619962633105745,Campanella2024
9,-0.41749563962968306,-0.3505382894599998,Campanella2024
10,-0.3035933407791084,-0.3301887125203446,Campanella2024
11,-0.2505416166411773,-0.35014957078183884,Campanella2024
12,-0.1751105821584185,-0.33212944908643655,Campanella2024
13,-0.10921403043428075,-0.30632411208931015,Campanella2024
14,-0.07553586951474041,-0.3317619750203446,Campanella2024
15,-0.03352437526186662,-0.3600199641726434,Campanella2024
16,0.0030043603703170402,-0.3404627679801147,Campanella2024
17,0.0611422914047998,-0.31934523809505727,Campanella2024
18,0.1390216017496274,-0.2844246382387354,Campanella2024
19,0.23680321094502976,-0.20216783651459747,Campanella2024
20,0.3210790730139952,-0.16537817430195378,Campanella2024
21,0.3564583833588227,-0.20070857968988481,Campanella2024
22,0.3894813718645699,-0.0567803232243676,Campanella2024
23,0.42503309600250105,0.30135467131586224,Campanella2024
24,0.44691240634732865,0.5071563489020692,Campanella2024
25,0.4287802224392825,0.5302029415026439,Campanella2024
26,0.3973376937036504,0.3622915884854025,Campanella2024
27,0.3921652799105471,0.33292375946241404,Campanella2024
28,0.4040273488760641,0.6158093993331036,Campanella2024
29,0.37911930289905266,0.8686679627670117,Campanella2024
30,0.37382045232433986,0.903583112192299,Campanella2024
31,0.37390091209445486,0.8521939145629888,Campanella2024
32,0.38192390060020215,0.8377041892037934,Campanella2024
33,0.3544009120944549,0.9237395134854025,Campanella2024
34,0.2819800727057202,0.9088598595752647,Campanella2024
35,0.25474090881331757,0.5375381975776241,Campanella2024
36,0.29800253962533774,0.42014891933241383,Campanella2024
37,0.12973696171374954,0.4264712981847283,Campanella2024
38,0.07251962575165893,0.34516041684406173,Campanella2024
39,0.0698691633289995,0.741297383007386,Campanella2024
